Agent Code;Description;Geographic Location;LAT;LONG;Post Code;City
AGENTE OLHÂO;Olhão;37.0297484,-7.8403343;37.0297484;-7.8403343;8700-440;Olhão
AGENTE PORTIMÂO;Portimão;37.1414103,-8.53478;37.1414103;-8.53478;8500-582;Portimão
ALBUFEIRA;Albufeira ;37.08991313529097, -8.246720443241433;37.08991313529097; -8.246720443241433;8200-184;ALBUFEIRA
AMARANTE;Amarante;41.272351, -8.082694;41.272351; -8.082694;4600-035;Amarante
HICONCABECEIRAS;Cabeceiras de Basto;41.514815163875376, -7.9918577322168405;41.514815163875376; -7.9918577322168405;4860-351;Cabeceiras de Basto
LEIRIA;Marinha Grande;39.75120499305164, -8.918951920549635;39.75120499305164; -8.918951920549635;2430-107;Marinha Grande
LOJA  FAMALICÃO;Vila Nova de Famalicão;41.410703773969765, -8.514932353622214;41.410703773969765; -8.514932353622214;4760-010;Vila Nova de Famalicão
LOJA  P. RÉGUA;Peso da Régua;41.16316473305086, -7.79214620077993;41.16316473305086; -7.79214620077993;5050-223;Peso da Régua
LOJA ALIJÓ;Alijó;41.2667203183958, -7.479614713133664;41.2667203183958; -7.479614713133664;5070-082;Alijó
LOJA ARCOS  VALDEVEZ;ARCOS DE VALDEVEZ;41.837926, -8.416908;41.837926; -8.416908;4970-617;Arcos de Valdevez
LOJA AVEIRO;Aveiro;40.64567083287541, -8.63496197303708;40.64567083287541; -8.63496197303708;3800-303;Aveiro
LOJA BAIXA BANHEIRA;Loja Baixa Banheira;38.658218, -9.049331;38.658218; -9.049331;2835-058;BAIXA DA BANHEIRA
LOJA BARCELOS;Barcelos;41.535121964690305, -8.613688409543117;41.535121964690305; -8.613688409543117;4750-106;Barcelos
LOJA BRAGA;Braga ;41.54785345300284, -8.421384900213857;41.54785345300284; -8.421384900213857;4700-251;Braga
LOJA BRAGANÇA;Bragança ;41.80225148153358, -6.760898072375761;41.80225148153358; -6.760898072375761;5300-252;Bragança
LOJA CAR. DE ANSIÃES;Carrazedade Ansiães;41.24232620210513, -7.305628664614628;41.24232620210513; -7.305628664614628;5140-080;Carrazeda de Ansiães
LOJA CHAVES;Chaves;41.73948123755549, -7.475797918413256;41.73948123755549; -7.475797918413256;5400-055;Chaves
